,song titles,found on spotify,spotify URI
0,Idhazhin Oram – The Innocence of Love,Yes,spotify:track:6NwEpX2JUWHVKWfDDfcqC4
1,Kannazhaga - The Kiss of Love,Yes,spotify:track:2MwCoo4GeXpi8soWn9EiPo
2,Come on Girls – The Celebration of Love,Yes,spotify:track:2mP9sA0wyHwybuJKjQ16AV
3,Nee Paartha Vizhigal – The Touch of Love,Yes,spotify:track:0xttqqTj7ZAGyVkfOYxQ4F
4,A Life Full of Love – Theme Music,Yes,spotify:track:5o0cR4FzBPvSE7831sBNvq
5,Why This Kolaveri Di,Yes,spotify:track:5UEBvJVvaNaRKkL1ZXDudJ
6,The Rhythm of Love – Theme Music,Yes,spotify:track:7tWpxCZtHehMyBuHiDePiu
7,Po Nee Po – The Pain of Love,Yes,spotify:track:4oWB4rfvtIucYpK9ZhwRdf
8,Theme of 3,Yes,spotify:track:2gLqfF5i18qFciz4srHqRO
